CMDLINE python server.py
MEM 10.824219 1411467692.1567
MEM 10.824219 1411467692.2786
MEM 10.824219 1411467692.4013
MEM 10.824219 1411467692.5225
MEM 10.824219 1411467692.6431
MEM 10.824219 1411467692.7659
MEM 10.824219 1411467692.8878
MEM 10.824219 1411467693.0097
MEM 10.824219 1411467693.1314
MEM 10.824219 1411467693.2521
MEM 10.824219 1411467693.3840
MEM 10.824219 1411467693.5097
MEM 10.824219 1411467693.6332
MEM 10.824219 1411467693.7532
MEM 10.824219 1411467693.8670
MEM 10.824219 1411467693.9907
MEM 10.824219 1411467694.1135
MEM 10.824219 1411467694.2421
MEM 10.824219 1411467694.3641
MEM 10.824219 1411467694.4852
MEM 10.824219 1411467694.6054
MEM 10.824219 1411467694.7260
MEM 10.824219 1411467694.8493
MEM 10.824219 1411467694.9700
MEM 10.824219 1411467695.0934
MEM 10.824219 1411467695.2184
MEM 10.824219 1411467695.3487
MEM 10.824219 1411467695.4791
MEM 10.824219 1411467695.5928
MEM 10.824219 1411467695.7068
MEM 10.824219 1411467695.8300
